id,code,name,state_id/id,country_id/id
vndistrict1,1,Quận Ba Đình,vnstate01,base.vn
vndistrict2,2,Quận Hoàn Kiếm,vnstate01,base.vn
vndistrict3,3,Quận Tây Hồ,vnstate01,base.vn
vndistrict4,4,Quận Long Biên,vnstate01,base.vn
vndistrict5,5,Quận Cầu Giấy,vnstate01,base.vn
vndistrict6,6,Quận Đống Đa,vnstate01,base.vn
vndistrict7,7,Quận Hai Bà Trưng,vnstate01,base.vn
vndistrict8,8,Quận Hoàng Mai,vnstate01,base.vn
vndistrict9,9,Quận Thanh Xuân,vnstate01,base.vn
vndistrict16,16,Quận Hà Đông,vnstate01,base.vn
vndistrict17,17,Thị Xã Sơn Tây,vnstate01,base.vn
vndistrict18,18,Huyện Sóc Sơn,vnstate01,base.vn
vndistrict19,19,Huyện Đông Anh,vnstate01,base.vn
vndistrict20,20,Huyện Gia Lâm,vnstate01,base.vn
vndistrict24,24,Huyện Từ Liêm,vnstate02,base.vn
vndistrict26,26,Huyện Thanh Trì,vnstate02,base.vn
vndistrict27,27,Huyện Mê Linh,vnstate02,base.vn
vndistrict28,28,Huyện Ba Vì,vnstate02,base.vn
vndistrict29,29,Huyện Phúc Thọ,vnstate02,base.vn
vndistrict30,30,Huyện Đan Phượng,vnstate02,base.vn
vndistrict31,31,Huyện Hoài Đức,vnstate02,base.vn
vndistrict32,32,Huyện Quốc Oai,vnstate02,base.vn
vndistrict33,33,Huyện Thạch Thất,vnstate02,base.vn
vndistrict34,34,Huyện Chương Mỹ,vnstate02,base.vn
vndistrict35,35,Huyện Thanh Oai,vnstate02,base.vn
vndistrict40,40,Huyện Thường Tín,vnstate04,base.vn
vndistrict42,42,Huyện Phú Xuyên,vnstate04,base.vn
vndistrict43,43,Huyện Ứng Hòa,vnstate04,base.vn
vndistrict44,44,Huyện Mỹ Đức,vnstate04,base.vn
vndistrict45,45,Thị Xã Hà Giang,vnstate04,base.vn
vndistrict46,46,Huyện Đồng Văn,vnstate04,base.vn
vndistrict47,47,Huyện Mèo Vạc,vnstate04,base.vn
vndistrict48,48,Huyện Yên Minh,vnstate04,base.vn
vndistrict49,49,Huyện Quản Bạ,vnstate04,base.vn
vndistrict50,50,Huyện Vị Xuyên,vnstate04,base.vn
vndistrict51,51,Huyện Bắc Mê,vnstate04,base.vn
vndistrict52,52,Huyện Hoàng Su Phì,vnstate04,base.vn
vndistrict53,53,Huyện Xín Mần,vnstate04,base.vn
vndistrict58,58,Huyện Bắc Quang,vnstate06,base.vn
vndistrict60,60,Huyện Quang Bình,vnstate06,base.vn
vndistrict61,61,Thị Xã Cao Bằng,vnstate06,base.vn
vndistrict62,62,Huyện Bảo Lâm,vnstate06,base.vn
vndistrict63,63,Huyện Bảo Lạc,vnstate06,base.vn
vndistrict64,64,Huyện Thông Nông,vnstate06,base.vn
vndistrict65,65,Huyện Hà Quảng,vnstate06,base.vn
vndistrict66,66,Huyện Trà Lĩnh,vnstate06,base.vn
vndistrict70,70,Huyện Trùng Khánh,vnstate08,base.vn
vndistrict72,72,Huyện Hạ Lang,vnstate08,base.vn
vndistrict73,73,Huyện Quảng Uyên,vnstate08,base.vn
vndistrict74,74,Huyện Phục Hoà,vnstate08,base.vn
vndistrict75,75,Huyện Hoà An,vnstate08,base.vn
vndistrict76,76,Huyện Nguyên Bình,vnstate08,base.vn
vndistrict80,80,Huyện Thạch An,vnstate10,base.vn
vndistrict82,82,Thị Xã Bắc Kạn,vnstate10,base.vn
vndistrict83,83,Huyện Pác Nặm,vnstate10,base.vn
vndistrict84,84,Huyện Ba Bể,vnstate10,base.vn
vndistrict85,85,Huyện Ngân Sơn,vnstate10,base.vn
vndistrict86,86,Huyện Bạch Thông,vnstate10,base.vn
vndistrict87,87,Huyện Chợ Đồn,vnstate10,base.vn
vndistrict88,88,Huyện Chợ Mới,vnstate10,base.vn
vndistrict89,89,Huyện Na Rì,vnstate10,base.vn
vndistrict94,94,Thị Xã Tuyên Quang,vnstate11,base.vn
vndistrict95,95,Huyện Nà Hang,vnstate11,base.vn
vndistrict96,96,Huyện Chiêm Hóa,vnstate11,base.vn
vndistrict97,97,Huyện Hàm Yên,vnstate11,base.vn
vndistrict98,98,Huyện Yên Sơn,vnstate11,base.vn
vndistrict99,99,Huyện Sơn Dương,vnstate11,base.vn
vndistrict100,100,Thành Phố Lào Cai,vnstate11,base.vn
