id,code,name,district_id/id,state_id/id,country_id/id
vnp1,1,Phường Phúc Xá,vndistrict1,vnstate01,base.vn
vnp4,4,Phường Trúc Bạch,vndistrict1,vnstate01,base.vn
vnp6,6,Phường Vĩnh Phúc,vndistrict1,vnstate01,base.vn
vnp7,7,Phường Cống Vị,vndistrict1,vnstate01,base.vn
vnp8,8,Phường Liễu Giai,vndistrict1,vnstate01,base.vn
vnp10,10,Phường Nguyễn Trung Trực,vndistrict1,vnstate01,base.vn
vnp13,13,Phường Quán Thánh,vndistrict1,vnstate01,base.vn
vnp16,16,Phường Ngọc Hà,vndistrict1,vnstate01,base.vn
vnp19,19,Phường Điện Biên,vndistrict1,vnstate01,base.vn
vnp22,22,Phường Đội Cấn,vndistrict1,vnstate01,base.vn
vnp25,25,Phường Ngọc Khánh,vndistrict1,vnstate01,base.vn
vnp28,28,Phường Kim Mã,vndistrict1,vnstate01,base.vn
vnp31,31,Phường Giảng Võ,vndistrict1,vnstate01,base.vn
vnp34,34,Phường Thành Công,vndistrict1,vnstate01,base.vn
vnp37,37,Phường Phúc Tân,vndistrict2,vnstate01,base.vn
vnp40,40,Phường Đồng Xuân,vndistrict2,vnstate01,base.vn
vnp43,43,Phường Hàng Mã,vndistrict2,vnstate01,base.vn
vnp46,46,Phường Hàng Buồm,vndistrict2,vnstate01,base.vn
vnp49,49,Phường Hàng Đào,vndistrict2,vnstate01,base.vn
vnp52,52,Phường Hàng Bồ,vndistrict2,vnstate01,base.vn
vnp55,55,Phường Cửa Đông,vndistrict2,vnstate01,base.vn
vnp58,58,Phường Lý Thái Tổ,vndistrict2,vnstate01,base.vn
vnp61,61,Phường Hàng Bạc,vndistrict2,vnstate01,base.vn
vnp64,64,Phường Hàng Gai,vndistrict2,vnstate01,base.vn
vnp67,67,Phường Chương Dương Độ,vndistrict2,vnstate01,base.vn
vnp70,70,Phường Hàng Trống,vndistrict2,vnstate01,base.vn
vnp73,73,Phường Cửa Nam,vndistrict2,vnstate01,base.vn
vnp76,76,Phường Hàng Bông,vndistrict2,vnstate01,base.vn
vnp79,79,Phường Tràng Tiền,vndistrict2,vnstate01,base.vn
vnp82,82,Phường Trần Hưng Đạo,vndistrict2,vnstate01,base.vn
vnp85,85,Phường Phan Chu Trinh,vndistrict2,vnstate01,base.vn
vnp88,88,Phường Hàng Bài,vndistrict2,vnstate01,base.vn
vnp91,91,Phường Phú Thượng,vndistrict3,vnstate01,base.vn
vnp94,94,Phường Nhật Tân,vndistrict3,vnstate01,base.vn
vnp97,97,Phường Tứ Liên,vndistrict3,vnstate01,base.vn
vnp100,100,Phường Quảng An,vndistrict3,vnstate01,base.vn
vnp103,103,Phường Xuân La,vndistrict3,vnstate01,base.vn
vnp106,106,Phường Yên Phụ,vndistrict3,vnstate01,base.vn
vnp109,109,Phường Bưởi,vndistrict3,vnstate01,base.vn
vnp112,112,Phường Thuỵ Khuê,vndistrict3,vnstate01,base.vn
vnp115,115,Phường Thượng Thanh,vndistrict4,vnstate01,base.vn
vnp118,118,Phường Ngọc Thuỵ,vndistrict4,vnstate01,base.vn
vnp121,121,Phường Giang Biên,vndistrict4,vnstate01,base.vn
vnp124,124,Phường Đức Giang,vndistrict4,vnstate01,base.vn
vnp127,127,Phường Việt Hưng,vndistrict4,vnstate01,base.vn
vnp130,130,Phường Gia Thuỵ,vndistrict4,vnstate01,base.vn
vnp133,133,Phường Ngọc Lâm,vndistrict4,vnstate01,base.vn
vnp136,136,Phường Phúc Lợi,vndistrict4,vnstate01,base.vn
vnp139,139,Phường Bồ Đề,vndistrict4,vnstate01,base.vn
vnp142,142,Phường Sài Đồng,vndistrict4,vnstate01,base.vn
vnp145,145,Phường Long Biên,vndistrict4,vnstate01,base.vn
vnp148,148,Phường Thạch Bàn,vndistrict4,vnstate01,base.vn
vnp151,151,Phường Phúc Đồng,vndistrict4,vnstate01,base.vn
vnp154,154,Phường Cự Khối,vndistrict4,vnstate01,base.vn
vnp157,157,Phường Nghĩa Đô,vndistrict5,vnstate01,base.vn
vnp160,160,Phường Nghĩa Tân,vndistrict5,vnstate01,base.vn
vnp163,163,Phường Mai Dịch,vndistrict5,vnstate01,base.vn
vnp166,166,Phường Dịch Vọng,vndistrict5,vnstate01,base.vn
vnp167,167,Phường Dịch Vọng Hậu,vndistrict5,vnstate01,base.vn
vnp169,169,Phường Quan Hoa,vndistrict5,vnstate01,base.vn
vnp172,172,Phường Yên Hoà,vndistrict5,vnstate01,base.vn
vnp175,175,Phường Trung Hoà,vndistrict5,vnstate01,base.vn
vnp178,178,Phường Cát Linh,vndistrict6,vnstate01,base.vn
vnp181,181,Phường Văn Miếu,vndistrict6,vnstate01,base.vn
vnp184,184,Phường Quốc Tử Giám,vndistrict6,vnstate01,base.vn
vnp187,187,Phường Láng Thượng,vndistrict6,vnstate01,base.vn
vnp190,190,Phường Ô Chợ Dừa,vndistrict6,vnstate01,base.vn
vnp193,193,Phường Văn Chương,vndistrict6,vnstate01,base.vn
vnp196,196,Phường Hàng Bột,vndistrict6,vnstate01,base.vn
vnp199,199,Phường Láng Hạ,vndistrict6,vnstate01,base.vn
vnp202,202,Phường Khâm Thiên,vndistrict6,vnstate01,base.vn
vnp205,205,Phường Thổ Quan,vndistrict6,vnstate01,base.vn
vnp208,208,Phường Nam Đồng,vndistrict6,vnstate01,base.vn
vnp211,211,Phường Trung Phụng,vndistrict6,vnstate01,base.vn
vnp214,214,Phường Quang Trung,vndistrict6,vnstate01,base.vn
vnp217,217,Phường Trung Liệt,vndistrict6,vnstate01,base.vn
vnp220,220,Phường Phương Liên,vndistrict6,vnstate01,base.vn
vnp223,223,Phường Thịnh Quang,vndistrict6,vnstate01,base.vn
vnp226,226,Phường Trung Tự,vndistrict6,vnstate01,base.vn
vnp229,229,Phường Kim Liên,vndistrict6,vnstate01,base.vn
vnp232,232,Phường Phương Mai,vndistrict6,vnstate01,base.vn
vnp235,235,Phường Ngã Tư Sở,vndistrict6,vnstate01,base.vn
vnp238,238,Phường Khương Thượng,vndistrict6,vnstate01,base.vn
vnp241,241,Phường Nguyễn Du,vndistrict7,vnstate01,base.vn
vnp244,244,Phường Bạch Đằng,vndistrict7,vnstate01,base.vn
vnp247,247,Phường Phạm Đình Hổ,vndistrict7,vnstate01,base.vn
vnp250,250,Phường Bùi Thị Xuân,vndistrict7,vnstate01,base.vn
vnp253,253,Phường Ngô Thì Nhậm,vndistrict7,vnstate01,base.vn
vnp256,256,Phường Lê Đại Hành,vndistrict7,vnstate01,base.vn
vnp259,259,Phường Đồng Nhân,vndistrict7,vnstate01,base.vn
vnp262,262,Phường Phố Huế,vndistrict7,vnstate01,base.vn
vnp265,265,Phường Đống Mác,vndistrict7,vnstate01,base.vn
vnp268,268,Phường Thanh Lương,vndistrict7,vnstate01,base.vn
vnp271,271,Phường Thanh Nhàn,vndistrict7,vnstate01,base.vn
vnp274,274,Phường Cầu Dền,vndistrict7,vnstate01,base.vn
vnp277,277,Phường Bách Khoa,vndistrict7,vnstate01,base.vn
vnp280,280,Phường Đồng Tâm,vndistrict7,vnstate01,base.vn
vnp283,283,Phường Vĩnh Tuy,vndistrict7,vnstate01,base.vn
vnp286,286,Phường Bạch Mai,vndistrict7,vnstate01,base.vn
vnp289,289,Phường Quỳnh Mai,vndistrict7,vnstate01,base.vn
vnp292,292,Phường Quỳnh Lôi,vndistrict7,vnstate01,base.vn
vnp295,295,Phường Minh Khai,vndistrict7,vnstate01,base.vn
vnp298,298,Phường Trương Định,vndistrict7,vnstate01,base.vn
vnp301,301,Phường Thanh Trì,vndistrict8,vnstate01,base.vn
vnp304,304,Phường Vĩnh Hưng,vndistrict8,vnstate01,base.vn
vnp307,307,Phường Định Công,vndistrict8,vnstate01,base.vn
